ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
884176.TI,出版,I,20260522,0.4156,,1737.585,2710094.0
885916.TI,同花顺漂亮100,N,20260522,0.4019,,871.699,125346237.0
881134.TI,食品加工制造,I,20260522,0.3954,,4982.489,8664966.6
700310.TI,公用事业(A股),I,20260522,0.3954,,1945.572,85047855.39
884199.TI,医药流通,I,20260522,0.3954,,2767.165,2918875.0
700342.TI,公用事业Ⅱ(A股),I,20260522,0.3954,,1945.1392,85047855.39
871019.TI,,,20260522,0.3933,,3981.132,826627.73
700587.TI,多样化房地产投资信托(A股),I,20260522,0.3802,,469.3295,46723.0
700423.TI,多元化房地产投资信托(A股),I,20260522,0.3802,,462.2579,46723.0
700343.TI,权益型房地产投资信托(REIT)(A股),I,20260522,0.3802,,338.7348,46723.0
700450.TI,石油与天然气钻井(A股),I,20260522,0.3798,,688.6891,1681538.26
881101.TI,种植业与林业,I,20260522,0.3792,,4490.828,5856536.0
885733.TI,航运概念,N,20260522,0.3733,,1762.571,27316786.0
883975.TI,超跌股,S,20260522,0.3612,,1632.821,6740166.6
871067.TI,,,20260522,0.3561,,1465.923,1272065.96
884068.TI,专业工程,I,20260522,0.3526,,1973.366,7810058.5
885372.TI,页岩气,N,20260522,0.3511,,2978.496,21937041.0
881182.TI,美容护理,I,20260522,0.346,,5232.219,1846898.8
884261.TI,数字媒体,I,20260522,0.3391,,9975.179,2571147.9
883426.TI,同花顺拟回购指数,S,20260522,0.3348,,2372.931,14317452.0
885981.TI,家庭医生,N,20260522,0.3344,,1280.598,5948310.1
885663.TI,证金持股,N,20260522,0.3336,,1148.459,119474999.0
884152.TI,燃气Ⅲ,I,20260522,0.3317,,2027.467,5879440.4
881146.TI,燃气,I,20260522,0.3317,,2027.467,5879440.4
700476.TI,建筑与工程Ⅳ(A股),I,20260522,0.3292,,1455.8159,37455369.8
700369.TI,建筑与工程Ⅲ(A股),I,20260522,0.3292,,1455.8194,37455369.8
884003.TI,其他种植业,I,20260522,0.326,,2251.993,2276511.4
884067.TI,基础建设,I,20260522,0.3238,,1713.834,13387497.3
884004.TI,林业,I,20260522,0.3003,,1606.961,1627442.2
884233.TI,休闲食品,I,20260522,0.2979,,7606.701,2036963.0
885780.TI,啤酒概念,N,20260522,0.2961,,1667.793,6847189.5
884147.TI,水电,I,20260522,0.2915,,3152.143,4053562.9
871060.TI,,,20260522,0.2833,,3477.821,632314.69
884106.TI,其他运输设备,I,20260522,0.283,,3027.099,1244118.08
700523.TI,其他专卖店(A股),I,20260522,0.2805,,229.8218,630250.28
700046.TI,同花顺超大盘股,ST,20260522,0.274,,11332.781,19823814.72
871043.TI,,,20260522,0.2735,,1447.693,2799787.7
884272.TI,化妆品,I,20260522,0.2698,,6780.973,933821.21
700384.TI,休闲设备与用品(A股),I,20260522,0.2693,,1627.0122,1787356.9
700510.TI,消闲用品(A股),I,20260522,0.2693,,1550.5822,1787356.9
884218.TI,机器人,I,20260522,0.2681,,18198.363,4995481.6
700577.TI,出版(A股),I,20260522,0.2668,,1167.4964,3220508.99
884249.TI,国有大型银行,I,20260522,0.265,,2967.476,12344317.7
885825.TI,冰雪产业,N,20260522,0.2597,,1431.468,13969064.0
885747.TI,共享单车,N,20260522,0.2565,,1209.144,2244111.6
885838.TI,眼科医疗,N,20260522,0.2548,,1807.302,7307100.9
