ts_code,name,pct_change,leading,leading_pct,up_num,down_num,turnover_rate,total_mv,idx_type
BK1029.DC,汽车整车,0.74,曙光股份,10.06,14,10,1.13,189552977.6,概念板块
BK1130.DC,时空大数据,0.73,盛邦安全,3.52,19,7,2.98,35203825.6,概念板块
BK1071.DC,跨境支付,0.73,新 大 陆,10.02,37,24,0.29,1280907955.2,概念板块
BK0671.DC,彩票概念,0.72,*ST椰岛,2.73,13,6,2.74,17872891.2,概念板块
BK1183.DC,谷子经济,0.71,华策影视,7.4,44,29,3.13,60787628.8,概念板块
BK0665.DC,电商概念,0.7,大众交通,10.05,202,136,2.26,600069990.4,概念板块
BK1514.DC,水产养殖,0.68,獐子岛,1.41,4,0,1.83,1194746.8,行业板块
BK0425.DC,工程建设,0.68,园林股份,7.77,40,27,1.21,146464475.2,概念板块
BK1373.DC,电能综合服务,0.67,九洲集团,3.26,10,5,1.7,24650703.4,行业板块
BK1608.DC,中药Ⅲ,0.66,三力制药,10.01,34,28,1.4,77530560.0,行业板块
BK1595.DC,原料药,0.66,科源制药,12.14,27,19,2.31,34328731.2,行业板块
BK1040.DC,中药Ⅱ,0.66,三力制药,10.01,34,28,1.4,77530560.0,行业板块
BK1516.DC,其他种植业,0.65,新农开发,2.27,4,1,2.29,4683444.9,行业板块
BK0872.DC,青蒿素,0.65,南卫股份,8.15,4,7,1.21,30511910.4,概念板块
BK0807.DC,共享经济,0.65,珈伟新能,4.55,13,3,1.77,24035085.1,概念板块
BK0505.DC,中字头,0.65,中材科技,10.0,59,35,0.56,1634082201.6,概念板块
BK0154.DC,广西板块,0.65,黑芝麻,4.35,23,17,2.28,45228668.8,地域板块
BK0939.DC,辅助生殖,0.64,翰宇药业,7.91,30,22,2.13,55121478.4,概念板块
BK0856.DC,工业大麻,0.64,翰宇药业,7.91,22,12,1.81,40126702.4,概念板块
BK0662.DC,在线教育,0.64,索辰科技,14.01,67,42,2.85,148069686.4,概念板块
BK1319.DC,硅料硅片,0.62,TCL中环,2.63,3,2,4.59,10805160.1,行业板块
BK1433.DC,复合肥,0.61,富邦科技,2.55,9,1,2.02,8374314.7,行业板块
BK1429.DC,食品及饲料添加剂,0.61,安迪苏,3.84,15,8,1.2,27467723.2,行业板块
BK0965.DC,社区团购,0.61,供销大集,5.13,23,15,2.13,50325267.2,概念板块
BK0937.DC,蚂蚁概念,0.61,协鑫能科,7.0,37,24,0.72,570619468.8,概念板块
BK0838.DC,东北振兴,0.61,大连热电,10.05,31,21,1.94,72324139.2,概念板块
BK0500.DC,HS300_,0.61,鹏鼎控股,10.0,135,155,0.87,6820886630.4,概念板块
BK1659.DC,精准诊断,0.6,华盛昌,10.0,36,24,1.71,78582968.0,概念板块
BK1567.DC,其他专业服务,0.6,安邦护卫,3.08,2,2,2.54,1689337.3,行业板块
BK1472.DC,基建市政工程,0.6,成都路桥,5.22,15,11,1.04,78676113.6,行业板块
BK1013.DC,华为欧拉,0.6,浩瀚深度,3.63,10,5,2.58,21278806.4,概念板块
BK1055.DC,虚拟数字人,0.59,神州信息,7.01,51,30,3.6,332576603.2,概念板块
BK1025.DC,预制菜概念,0.59,合百集团,9.99,35,24,2.61,61410835.2,概念板块
BK0906.DC,流感,0.59,九安医疗,10.0,66,53,1.65,142073953.6,概念板块
BK1503.DC,果蔬加工,0.58,ST朗源,2.29,4,2,1.83,3882139.9,行业板块
BK1221.DC,数字媒体,0.58,卓创资讯,4.59,9,6,3.52,20607228.5,行业板块
BK1668.DC,小盘价值,0.57,科陆电子,9.96,143,157,1.91,476247040.0,概念板块
BK0152.DC,甘肃板块,0.57,*ST兰黄,4.82,24,9,2.35,39865838.4,地域板块
BK1576.DC,调味发酵品Ⅲ,0.56,莲花控股,10.02,8,7,2.08,35017262.4,行业板块
BK1533.DC,塑料包装,0.56,喜悦智行,2.8,5,2,1.78,5091083.9,行业板块
BK1523.DC,汽车经销商,0.56,上海物贸,1.19,4,1,0.96,2060037.8,行业板块
BK1344.DC,产业地产,0.56,张江高科,6.27,8,2,2.31,14645418.7,行业板块
BK1278.DC,调味发酵品Ⅱ,0.56,莲花控股,10.02,8,7,2.08,35017262.4,行业板块
BK1261.DC,种植业,0.56,神农种业,3.05,12,9,2.02,15545374.7,行业板块
BK1110.DC,Web3.0,0.56,格尔软件,9.99,24,25,4.39,54408240.0,概念板块
BK1251.DC,个护用品,0.55,延江股份,3.93,8,5,1.6,7520285.4,行业板块
BK0672.DC,沪企改革,0.55,大众交通,10.05,23,13,1.13,89409979.2,概念板块
BK1652.DC,新消费,0.54,翰宇药业,7.91,52,28,1.99,80062436.8,概念板块
BK1239.DC,白色家电,0.54,澳柯玛,7.32,3,6,0.81,109257931.2,行业板块
BK1214.DC,社会服务,0.54,联检科技,6.97,43,41,2.02,52736846.4,行业板块
BK0996.DC,毛发医疗,0.54,康惠股份,3.01,10,7,1.48,12630371.9,概念板块
BK0625.DC,通用航空,0.54,博云新材,7.57,17,18,1.69,100317152.0,概念板块
BK0615.DC,中药概念,0.54,三力制药,10.01,77,61,1.45,182349609.6,概念板块
BK0664.DC,婴童概念,0.53,三力制药,10.01,96,58,1.77,127066222.4,概念板块
BK0499.DC,AH股,0.53,金隅集团,9.8,83,94,0.54,4292437273.6,概念板块
BK1408.DC,机器人,0.52,埃夫特-U,8.87,12,8,6.79,25526576.1,行业板块
BK1265.DC,包装印刷,0.51,衢州东峰,4.82,30,16,2.85,29917632.0,行业板块
BK0938.DC,代糖概念,0.51,圣泉集团,4.0,9,6,1.96,16426423.4,概念板块
BK1026.DC,调味品概念,0.5,莲花控股,10.02,21,11,1.71,65439947.2,概念板块
BK0837.DC,互联医疗,0.5,九安医疗,10.0,49,42,1.82,441181670.4,概念板块
BK0693.DC,基因测序,0.5,昌红科技,6.39,24,15,3.32,38695953.6,概念板块
BK0610.DC,央视50_,0.5,法拉电子,10.0,21,29,0.35,1654767795.2,概念板块
BK1301.DC,游戏Ⅲ,0.49,凯撒文化,2.14,15,9,2.14,45738808.0,行业板块
BK1290.DC,教育出版,0.49,世纪天鸿,2.62,8,2,0.53,12275187.1,行业板块
BK1046.DC,游戏Ⅱ,0.49,凯撒文化,2.14,15,9,2.14,45738808.0,行业板块
BK0895.DC,维生素,0.49,振华股份,5.73,17,15,1.36,47474624.0,概念板块
BK0422.DC,物流,0.49,音飞储存,3.42,30,15,1.0,66937963.2,行业板块
BK1488.DC,跨境物流,0.48,海程邦达,3.3,8,4,0.78,18071404.1,行业板块
