ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK0906.DC,流感,20260522,1642.59,0.59,概念板块,1.65,23251612847.0
BK1025.DC,预制菜概念,20260522,1088.59,0.59,概念板块,2.61,10152002835.0
BK1055.DC,虚拟数字人,20260522,1404.78,0.59,概念板块,3.6,45994450271.0
BK1221.DC,数字媒体,20260522,6811.5,0.58,行业板块,3.52,6642517795.0
BK1503.DC,果蔬加工,20260522,3040.04,0.58,行业板块,1.83,1008286608.0
BK0152.DC,甘肃板块,20260522,20510.12,0.57,地域板块,2.35,11586340049.0
BK1668.DC,小盘价值,20260522,986.45,0.57,概念板块,1.91,98656380990.0
BK1110.DC,Web3.0,20260522,1936.33,0.56,概念板块,4.39,24378585195.0
BK1261.DC,种植业,20260522,2606.17,0.56,行业板块,2.02,2720971938.0
BK1278.DC,调味发酵品Ⅱ,20260522,4868.22,0.56,行业板块,2.08,4317129945.0
BK1344.DC,产业地产,20260522,2463.17,0.56,行业板块,2.31,5463764644.0
BK1523.DC,汽车经销商,20260522,1476.46,0.56,行业板块,0.96,174540573.0
BK1533.DC,塑料包装,20260522,5133.31,0.56,行业板块,1.78,1696155000.0
BK1576.DC,调味发酵品Ⅲ,20260522,4868.22,0.56,行业板块,2.08,4317129945.0
BK0672.DC,沪企改革,20260522,2626.74,0.55,概念板块,1.13,12065707896.0
BK1251.DC,个护用品,20260522,637.27,0.55,行业板块,1.6,882515451.0
BK0615.DC,中药概念,20260522,2178.46,0.54,概念板块,1.45,21302971412.0
BK0625.DC,通用航空,20260522,5978.26,0.54,概念板块,1.69,21593544020.0
BK0996.DC,毛发医疗,20260522,993.0,0.54,概念板块,1.48,1978649997.0
BK1214.DC,社会服务,20260522,4337.05,0.54,行业板块,2.02,11314896288.0
BK1239.DC,白色家电,20260522,3325.31,0.54,行业板块,0.81,5648758651.0
BK1652.DC,新消费,20260522,926.52,0.54,概念板块,1.99,16726537914.0
BK0499.DC,AH股,20260522,9588.87,0.53,概念板块,0.54,329074126973.0
BK0664.DC,婴童概念,20260522,1764.27,0.53,概念板块,1.77,20193315810.0
BK1408.DC,机器人,20260522,10899.46,0.52,行业板块,6.79,16030038174.0
BK0938.DC,代糖概念,20260522,1123.67,0.51,概念板块,1.96,4660438847.0
BK1265.DC,包装印刷,20260522,4246.27,0.51,行业板块,2.85,9426302719.0
BK0610.DC,央视50_,20260522,2484.43,0.5,概念板块,0.35,110613870528.0
BK0693.DC,基因测序,20260522,1903.98,0.5,概念板块,3.32,9983418905.0
BK0837.DC,互联医疗,20260522,1052.87,0.5,概念板块,1.82,37138477908.0
BK1026.DC,调味品概念,20260522,1000.67,0.5,概念板块,1.71,6524875261.0
BK0422.DC,物流,20260522,7509.78,0.49,行业板块,1.0,4928347287.0
BK0895.DC,维生素,20260522,1893.61,0.49,概念板块,1.36,6711094121.0
BK1046.DC,游戏Ⅱ,20260522,1463.26,0.49,行业板块,2.14,9716817606.0
BK1290.DC,教育出版,20260522,2087.04,0.49,行业板块,0.53,540208903.0
BK1301.DC,游戏Ⅲ,20260522,1463.26,0.49,行业板块,2.14,9716817606.0
BK1169.DC,Kimi概念,20260522,1237.21,0.48,概念板块,3.88,17113381805.0
BK1192.DC,雅下水电概念,20260522,1314.1,0.48,概念板块,1.61,29162990454.0
BK1193.DC,海南自贸,20260522,1024.37,0.48,概念板块,1.7,29683398652.0
BK1488.DC,跨境物流,20260522,1738.48,0.48,行业板块,0.78,836807059.0
BK1280.DC,食品加工,20260522,4490.72,0.47,行业板块,1.99,3189415499.0
BK1016.DC,汽车服务,20260522,979.9,0.45,行业板块,1.7,1044500433.0
