ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
886016.TI,供销社,N,20260522,1.5305,,1121.411,7488223.4
886089.TI,回购增持再贷款概念,N,20260522,1.5295,,1600.159,237923130.0
885362.TI,云计算,N,20260522,1.5261,,4368.526,75735620.0
885942.TI,数据安全,N,20260522,1.5052,,1276.394,45757303.0
885797.TI,百度概念,N,20260522,1.4997,,2126.166,81244511.0
885827.TI,横琴新区,N,20260522,1.496,,2079.092,8613926.5
885772.TI,语音技术,N,20260522,1.4955,,2084.292,11100711.7
885820.TI,数字孪生,N,20260522,1.4883,,2126.116,54243132.0
885494.TI,一带一路,N,20260522,1.4819,,2614.633,230720580.0
885962.TI,土壤修复,N,20260522,1.4785,,1160.662,26580766.0
885413.TI,创投,N,20260522,1.4585,,3763.619,151967440.0
885934.TI,元宇宙,N,20260522,1.4559,,2028.358,66654809.0
885888.TI,C2M概念,N,20260522,1.4558,,2094.218,7471533.1
886096.TI,同花顺新质50,N,20260522,1.4527,,2700.948,19598521.0
886034.TI,数字水印,N,20260522,1.4516,,1208.131,7887627.0
886008.TI,减速器,N,20260522,1.4481,,2228.207,37235629.0
885924.TI,共同富裕示范区,N,20260522,1.4471,,1646.862,35719522.0
885919.TI,碳中和,N,20260522,1.4447,,2185.344,100230778.0
885378.TI,智慧城市,N,20260522,1.4366,,4672.47,109640473.0
885478.TI,智能家居,N,20260522,1.4344,,4085.754,70351938.0
885980.TI,华为鲲鹏,N,20260522,1.4247,,1536.14,43448744.0
886062.TI,多模态AI,N,20260522,1.422,,1442.472,41856239.0
885854.TI,垃圾分类,N,20260522,1.4218,,2002.378,19557950.0
885760.TI,装配式建筑,N,20260522,1.4187,,1064.203,26430157.0
885770.TI,智能物流,N,20260522,1.4174,,1200.237,55190587.0
885539.TI,医疗器械概念,N,20260522,1.4137,,3220.673,127605449.0
885768.TI,无人零售,N,20260522,1.4043,,1432.592,9850504.0
885572.TI,水利,N,20260522,1.3978,,2705.251,71298041.0
885965.TI,中俄贸易概念,N,20260522,1.3967,,1774.802,33048503.0
885728.TI,人工智能,N,20260522,1.3905,,1439.532,314316980.0
885779.TI,腾讯概念,N,20260522,1.3858,,1455.131,88377383.0
886087.TI,房屋检测,N,20260522,1.3745,,1791.378,8100909.4
885936.TI,绿色电力,N,20260522,1.3707,,1293.354,205658730.0
886039.TI,ERP概念,N,20260522,1.3681,,1500.655,7618822.6
885734.TI,广东自贸区,N,20260522,1.3509,,1365.183,5271330.4
885923.TI,鸿蒙概念,N,20260522,1.3118,,1987.561,59660096.0
885982.TI,华为欧拉,N,20260522,1.3108,,1623.673,9108715.6
885904.TI,代糖概念,N,20260522,1.3072,,990.939,4925776.5
885611.TI,阿里巴巴概念,N,20260522,1.3042,,2143.829,109762773.0
886099.TI,AI智能体,N,20260522,1.2985,,1503.199,118419154.0
885844.TI,国产操作系统,N,20260522,1.2983,,1942.506,21283283.0
883300.TI,沪深300样本股,N,20260522,1.2962,,4845.096,286940440.0
885487.TI,天津自贸区,N,20260522,1.2922,,1206.057,3904435.8
886075.TI,同花顺出海50,N,20260522,1.2845,,1888.212,32418017.0
885851.TI,烟草,N,20260522,1.269,,1699.289,6004582.1
885333.TI,移动支付,N,20260522,1.2677,,2473.915,19376969.0
886090.TI,智谱AI,N,20260522,1.267,,1582.036,21093228.0
885345.TI,新疆振兴,N,20260522,1.2651,,1082.459,49638931.0
885967.TI,化肥,N,20260522,1.2627,,1059.448,16656257.0
885744.TI,雄安新区,N,20260522,1.2622,,1245.948,68562547.0
885520.TI,沪股通,N,20260522,1.2395,,2551.789,500140100.0
885750.TI,特色小镇,N,20260522,1.2349,,539.004,12690347.2
885849.TI,黑龙江自贸区,N,20260522,1.2348,,1823.264,9899498.8
885781.TI,石墨电极,N,20260522,1.2344,,1207.484,6177942.9
885881.TI,云办公,N,20260522,1.2298,,2005.103,9597905.9
886047.TI,脑机接口,N,20260522,1.2249,,1699.925,15102479.0
885956.TI,智慧政务,N,20260522,1.221,,1588.202,44952315.0
885472.TI,上海自贸区,N,20260522,1.2109,,4565.932,13209673.8
885629.TI,农村电商,N,20260522,1.204,,1838.386,15525918.0
885757.TI,区块链,N,20260522,1.2026,,1632.676,89849143.0
885795.TI,国产航母,N,20260522,1.2011,,2271.989,10159050.9
885874.TI,云游戏,N,20260522,1.1959,,1724.844,10568624.1
885598.TI,新股与次新股,N,20260522,1.1902,,17475.825,7855624.6
886100.TI,DeepSeek概念,N,20260522,1.1845,,1779.856,218181550.0
885866.TI,数字货币,N,20260522,1.1842,,2132.917,17223220.0
886041.TI,数据要素,N,20260522,1.1759,,1323.685,97906456.0
885915.TI,物业管理,N,20260522,1.1709,,1222.462,55418841.0
886086.TI,西部大开发,N,20260522,1.1613,,1955.75,160941730.0
885586.TI,职业教育,N,20260522,1.1612,,1748.046,26838928.0
886108.TI,AI应用,N,20260522,1.158,,939.899,128000266.0
885742.TI,摘帽,N,20260522,1.1461,,1039.672,22669109.0
885996.TI,超超临界发电,N,20260522,1.143,,1783.4,61623347.0
886005.TI,生物质能发电,N,20260522,1.1382,,1166.127,19708638.0
885976.TI,数字经济,N,20260522,1.1348,,1711.547,134588030.0
885935.TI,抽水蓄能,N,20260522,1.1287,,1800.416,41952851.0
885991.TI,新型城镇化,N,20260522,1.1276,,1395.373,54598968.0
886017.TI,Web3.0,N,20260522,1.1257,,1986.822,22057435.0
885835.TI,参股银行,N,20260522,1.1178,,1547.768,79195087.0
885974.TI,两轮车,N,20260522,1.1093,,1872.744,12866834.4
885883.TI,医疗废物处理,N,20260522,1.1,,1579.558,7995837.9
885505.TI,生态农业,N,20260522,1.0993,,1705.43,10283996.3
885690.TI,PPP概念,N,20260522,1.0922,,987.832,63498409.0
885692.TI,地下管网,N,20260522,1.0796,,1419.066,21144620.0
885995.TI,粮食概念,N,20260522,1.0679,,865.759,9219779.2
886074.TI,AI语料,N,20260522,1.067,,1276.684,17718332.0
886080.TI,财税数字化,N,20260522,1.0484,,1861.203,10838401.9
885502.TI,冷链物流,N,20260522,1.044,,1873.882,38544050.0
885642.TI,跨境电商,N,20260522,1.0407,,1033.571,73417289.0
886021.TI,国企改革,N,20260522,1.0306,,1504.46,547958200.0
885986.TI,碳交易,N,20260522,1.0275,,1119.761,56222047.0
885918.TI,快手概念,N,20260522,1.0221,,2151.608,21245080.0
885952.TI,幽门螺杆菌概念,N,20260522,0.9992,,1072.526,9602453.9
885595.TI,央企国企改革,N,20260522,0.9981,,3303.179,161678780.0
885706.TI,农机,N,20260522,0.9931,,1417.26,14779811.0
885947.TI,DRG/DIP,N,20260522,0.986,,1048.729,3101908.5
886068.TI,Sora概念(文生视频),N,20260522,0.9738,,2366.733,19129343.0
