ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
600503.SH,华丽家族,20260522,09:50:30,,,09:50:30,机器人概念,涨停,机器人概念、石墨化,47720557.0,,首板,,,,,,,34064072.0,132465785.0,3.5,3869338075.0,138943728.0
002826.SZ,易明医药,20260522,13:58:21,,,14:36:45,医药,涨停,医药、减肥药,47221619.0,,首板,,,,,,,5214858.0,244025913.0,9.94,2547978341.0,185368416.0
002453.SZ,华软科技,20260522,09:59:12,,,09:59:12,并购重组,涨停,并购重组、数字经济,45452267.0,,首板,,,,,,,78863480.0,162107265.0,5.81,2862354644.0,423236096.0
605580.SH,恒盛能源,20260522,09:46:44,,,09:46:44,金刚石概念,涨停,金刚石概念、培育钻石,45141625.0,,首板,,,,,,,56832360.0,110806027.0,7.02,1616305600.0,243190608.0
603800.SH,洪田股份,20260522,13:05:13,,,13:25:46,芯片,涨停,玻璃基板、复合集流体,44833435.0,,首板,,,,,,,55199528.0,676991792.0,8.67,8042912800.0,343664832.0
605500.SH,森林包装,20260522,13:47:11,,,13:47:23,包装印刷,涨停,包装印刷、电力,39747416.0,,首板,,,,,,,30965036.0,351597530.0,34.48,1053676646.0,103840896.0
603976.SH,正川股份,20260522,11:10:13,,,11:10:13,医疗器械,涨停,医疗器械、病毒防治,39543415.0,,首板,,,,,,,44131316.0,221817188.0,21.61,1053098512.0,255074784.0
603867.SH,新化股份,20260522,11:13:17,,,11:29:32,锂电池,涨停,盐湖提锂、磷化工,38826202.0,,首板,,,,,,,50449336.0,692640745.0,10.29,6920218560.0,281878144.0
603001.SH,奥康国际,20260522,10:02:13,,,10:02:13,服装家纺,涨停,服装家纺、一季报增长,38417899.0,,首板,,,,,,,38993528.0,188412488.0,9.5,2028229016.0,208964848.0
002859.SZ,洁美科技,20260522,13:00:06,,,13:29:36,元器件,涨停,电阻电容、元器件,37260552.0,,首板,,,,,,,60396608.0,1137893058.0,10.22,11360842245.0,418718304.0
000595.SZ,*ST宝实,20260522,14:16:33,,,14:16:33,ST板块,涨停,机器人概念、军工,33717347.0,,首板,,,,,,,6589037.0,188407275.0,3.97,4807329748.0,9271756.0
600191.SH,华资实业,20260522,13:17:32,,,13:17:32,医药,涨停,合成生物、食品饮料,28048428.0,,首板,,,,,,,14117864.0,133843681.0,4.63,2985763663.0,171970816.0
600303.SH,曙光股份,20260522,09:30:33,,,09:30:33,汽车零部件,涨停,汽车零部件、锂电池,25602939.0,,2连板,,,,,,,79428840.0,124973447.0,5.83,2174847649.0,186036112.0
301362.SZ,民爆光电,20260522,13:04:27,,,13:37:33,通信,涨停,印制电路板、通信,23029746.0,,首板,,,,,,,43592096.0,1204726488.0,18.45,7083119100.0,187044944.0
300907.SZ,康平科技,20260522,10:54:54,,,10:54:54,机器人概念,涨停,机器人概念、智能电网,22234078.0,,首板,,,,,,,69239312.0,454389736.0,31.4,1519425600.0,577200832.0
002175.SZ,*ST东智,20260522,09:45:54,,,10:24:39,ST板块,涨停,工业母机、元宇宙,18978637.0,,首板,,,,,,,2871808.0,99263662.0,3.79,2640668542.0,31489956.0
002501.SZ,*ST利源,20260522,09:38:54,,,14:26:27,ST板块,涨停,金属铝、有色金属,18512936.0,,首板,,,,,,,5424338.0,80806727.0,2.03,4009723199.0,27319996.0
603661.SH,恒林股份,20260522,09:25:39,,,09:25:39,金刚石概念,涨停,芯片、算力,18376186.0,,2连板,,,,,,,68574536.0,58458361.0,4.54,1288392627.0,121809880.0
001366.SZ,播恩集团,20260522,10:37:45,,,10:37:45,医药,涨停,合成生物、农业,15856432.0,,首板,,,,,,,153108048.0,140865903.0,15.66,919204486.0,330897664.0
600234.SH,科新发展,20260522,10:04:41,,,10:04:41,算力,涨停,算力租赁、算力,15540185.0,,首板,,,,,,,53134216.0,100930078.0,2.9,3611346138.0,135932560.0
